name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,16983,1251,1309,783.9640848503964,,,,"LINESTRING (120.50971879 31.22200053, 120.50235675 31.22661465)",auto;bike;walk,1
,16984,1309,1251,783.9640848503964,,,,"LINESTRING (120.50235675 31.22661465, 120.50971879 31.22200053)",auto;bike;walk,1
,16985,1677,1678,103.62446156401289,,,,"LINESTRING (120.50235675 31.25429938, 120.50971879 31.25429938)",auto;bike;walk,1
,16986,1678,1677,103.62446156401289,,,,"LINESTRING (120.50971879 31.25429938, 120.50235675 31.25429938)",auto;bike;walk,1
,16987,1459,1458,601.9012492472013,,,,"LINESTRING (120.74530424 31.23584289, 120.73794219 31.23584289)",auto;bike;walk,1
,16988,1458,1459,601.9012492472013,,,,"LINESTRING (120.73794219 31.23584289, 120.74530424 31.23584289)",auto;bike;walk,1
,16989,1460,1459,396.52923743545443,,,,"LINESTRING (120.75266629 31.23584289, 120.74530424 31.23584289)",auto;bike;walk,1
,16990,1459,1460,396.52923743545443,,,,"LINESTRING (120.74530424 31.23584289, 120.75266629 31.23584289)",auto;bike;walk,1
,16991,426,478,500.5176450470426,,,,"LINESTRING (120.48027061 31.14356047, 120.48027061 31.14817459)",auto;bike;walk,1
,16992,478,426,500.5176450470426,,,,"LINESTRING (120.48027061 31.14817459, 120.48027061 31.14356047)",auto;bike;walk,1
,16993,624,623,314.5940535359146,,,,"LINESTRING (120.46554653 31.16201695, 120.45818448 31.16201695)",auto;bike;walk,1
,16994,623,624,314.5940535359146,,,,"LINESTRING (120.45818448 31.16201695, 120.46554653 31.16201695)",auto;bike;walk,1
,16995,623,676,396.60144909467635,,,,"LINESTRING (120.45818448 31.16201695, 120.45818448 31.16663107)",auto;bike;walk,1
,16996,676,623,396.60144909467635,,,,"LINESTRING (120.45818448 31.16663107, 120.45818448 31.16201695)",auto;bike;walk,1
,16997,2042,1890,608.1710228061311,,,,"LINESTRING (120.39192607 31.27736998, 120.39192607 31.26814174)",auto;bike;walk,1
,16998,1890,2042,608.1710228061311,,,,"LINESTRING (120.39192607 31.26814174, 120.39192607 31.27736998)",auto;bike;walk,1
,16999,3031,2945,183.71192341580544,2.0,40.0,,"LINESTRING (120.72321811 31.33273944, 120.72321811 31.32812532)",auto;bike;walk,6
,17000,2945,3031,146.24215929120066,2.0,50.0,,"LINESTRING (120.72321811 31.32812532, 120.72321811 31.33273944)",auto;bike;walk,6
,17001,4510,4573,382.1755385142457,,,,"LINESTRING (120.9514415 31.42963599, 120.9514415 31.43425011)",auto;bike;walk,1
,17002,4573,4510,382.1755385142457,,,,"LINESTRING (120.9514415 31.43425011, 120.9514415 31.42963599)",auto;bike;walk,1
,17003,4573,4695,606.4910989052946,,,,"LINESTRING (120.9514415 31.43425011, 120.9514415 31.44347835)",auto;bike;walk,1
,17004,4695,4573,606.4910989052946,,,,"LINESTRING (120.9514415 31.44347835, 120.9514415 31.43425011)",auto;bike;walk,1
,17005,4695,4830,1019.3696419855416,,,,"LINESTRING (120.9514415 31.44347835, 120.9514415 31.45270659)",auto;bike;walk,1
,17006,4830,4695,1019.3696419855416,,,,"LINESTRING (120.9514415 31.45270659, 120.9514415 31.44347835)",auto;bike;walk,1
,17007,4830,4905,408.3898831991769,,,,"LINESTRING (120.9514415 31.45270659, 120.9514415 31.45732071)",auto;bike;walk,1
,17008,4905,4830,408.3898831991769,,,,"LINESTRING (120.9514415 31.45732071, 120.9514415 31.45270659)",auto;bike;walk,1
,17009,1151,1112,1256.69491850747,,,,"LINESTRING (120.56125311 31.21277228, 120.55389106 31.20815816)",auto;bike;walk,1
,17010,1112,1151,1256.6949185074702,,,,"LINESTRING (120.55389106 31.20815816, 120.56125311 31.21277228)",auto;bike;walk,1
,17011,322,274,474.44593428402686,,,,"LINESTRING (120.44346039 31.13433222, 120.44346039 31.1297181)",auto;bike;walk,1
,17012,274,322,474.44593428402686,,,,"LINESTRING (120.44346039 31.1297181, 120.44346039 31.13433222)",auto;bike;walk,1
,17013,274,230,348.66031937287096,,,,"LINESTRING (120.44346039 31.1297181, 120.44346039 31.12510398)",auto;bike;walk,1
,17014,230,274,348.66031937287096,,,,"LINESTRING (120.44346039 31.12510398, 120.44346039 31.1297181)",auto;bike;walk,1
,17015,1982,1830,838.2147828070556,,,,"LINESTRING (120.5759772 31.27275586, 120.5759772 31.26352762)",auto;bike;walk,1
,17016,1830,1982,838.2147828070556,,,,"LINESTRING (120.5759772 31.26352762, 120.5759772 31.27275586)",auto;bike;walk,1
,17017,2111,2033,202.8616703818114,,,,"LINESTRING (121.00297582 31.27736998, 121.00297582 31.27275586)",auto;bike;walk,1
,17018,2033,2111,202.8616703818114,,,,"LINESTRING (121.00297582 31.27275586, 121.00297582 31.27736998)",auto;bike;walk,1
,17019,2126,2206,522.1059065754553,,,,"LINESTRING (120.47290857 31.2819841, 120.47290857 31.28659822)",auto;bike;walk,1
,17020,2206,2126,522.1059065754553,,,,"LINESTRING (120.47290857 31.28659822, 120.47290857 31.2819841)",auto;bike;walk,1
,17021,2207,2127,278.8109750760692,,,,"LINESTRING (120.48027061 31.28659822, 120.48027061 31.2819841)",auto;bike;walk,1
,17022,2127,2207,278.81097507606916,,,,"LINESTRING (120.48027061 31.2819841, 120.48027061 31.28659822)",auto;bike;walk,1
,17023,2154,2155,389.5533022499587,2.0,,,"LINESTRING (120.72321811 31.2819841, 120.73058015 31.2819841)",auto;bike;walk,3
,17024,2081,2156,147.06875655707995,,,,"LINESTRING (120.73794219 31.27736998, 120.73794219 31.2819841)",auto;bike;walk,3
,17025,2156,2081,147.06875655707995,,,,"LINESTRING (120.73794219 31.2819841, 120.73794219 31.27736998)",auto;bike;walk,3
,17026,2850,2769,100.78429041949205,,,,"LINESTRING (120.64959766 31.3235112, 120.64223561 31.31889707)",bike;walk,1
,17027,2769,2850,100.78429041949207,,,,"LINESTRING (120.64223561 31.31889707, 120.64959766 31.3235112)",bike;walk,1
,17028,4993,5062,424.12199172094745,,,,"LINESTRING (120.39192607 31.46654896, 120.38456403 31.47116308)",auto;bike;walk,1
,17029,5413,5335,107.5806204317405,,,,"LINESTRING (120.35511585 31.49423368, 120.35511585 31.48961956)",auto;bike;walk,5
,17030,5498,5497,197.8066980939734,2.0,,,"LINESTRING (120.37720198 31.4988478, 120.36983993 31.4988478)",auto;bike;walk,1
,17031,5497,5415,416.96730821359813,2.0,,,"LINESTRING (120.36983993 31.4988478, 120.36983993 31.49423368)",auto;bike;walk,1
,17032,5415,5337,187.6535306896476,2.0,,,"LINESTRING (120.36983993 31.49423368, 120.36983993 31.48961956)",auto;bike;walk,6
,17033,5337,5336,167.434563540356,2.0,,,"LINESTRING (120.36983993 31.48961956, 120.36247789 31.48961956)",auto;bike;walk,5
,17034,5336,5337,167.06665949230106,2.5,,,"LINESTRING (120.36247789 31.48961956, 120.36983993 31.48961956)",auto;bike;walk,5
,17035,5337,5415,182.14067027914749,2.0,,,"LINESTRING (120.36983993 31.48961956, 120.36983993 31.49423368)",auto;bike;walk,6
,17036,5415,5497,301.5939199000615,2.0,,,"LINESTRING (120.36983993 31.49423368, 120.36983993 31.4988478)",auto;bike;walk,1
,17037,5497,5498,210.98539883422427,2.0,,,"LINESTRING (120.36983993 31.4988478, 120.37720198 31.4988478)",auto;bike;walk,2
,17038,5865,5864,234.88737862238813,,,,"LINESTRING (120.34039175 31.52191841, 120.33302971 31.52191841)",auto;bike;walk,3
,17039,5864,5865,234.88737862238813,,,,"LINESTRING (120.33302971 31.52191841, 120.34039175 31.52191841)",auto;bike;walk,3
,17040,5864,5795,274.52809595020034,,,,"LINESTRING (120.33302971 31.52191841, 120.34039175 31.51730429)",auto;bike;walk,1
,17041,5795,5729,172.1203475285342,,,,"LINESTRING (120.34039175 31.51730429, 120.34039175 31.51269017)",auto;bike;walk,6
,17042,5729,5653,319.24882953207504,,,,"LINESTRING (120.34039175 31.51269017, 120.34039175 31.50807605)",auto;bike;walk,2
