name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5625,1210;6146;6147;6148;17469;17503;17524;57185;57311;57313;57316,11,motorway;motorway;motorway;motorway;tertiary;tertiary;tertiary;tertiary;residential;tertiary;tertiary,,,,120.80420061,31.50346192,"POLYGON ((120.80051958 31.50576899, 120.80788163 31.50576899, 120.80788163 31.50115486, 120.80051958 31.50115486, 120.80051958 31.50576899))"
,5626,17451;17452,2,unclassified;unclassified,,,,120.81892469,31.50346192,"POLYGON ((120.81524367 31.50576899, 120.82260572 31.50576899, 120.82260572 31.50115486, 120.81524367 31.50115486, 120.81524367 31.50576899))"
,5627,57301;57302,2,residential;residential,,,,120.82628674,31.50346192,"POLYGON ((120.82260572 31.50576899, 120.82996776 31.50576899, 120.82996776 31.50115486, 120.82260572 31.50115486, 120.82260572 31.50576899))"
,5628,57299;57300,2,residential;residential,,,,120.83364879,31.50346192,"POLYGON ((120.82996776 31.50576899, 120.83732981 31.50576899, 120.83732981 31.50115486, 120.82996776 31.50115486, 120.82996776 31.50576899))"
,5629,57297;57298,2,residential;residential,,,,120.84101083,31.50346192,"POLYGON ((120.83732981 31.50576899, 120.84469185 31.50576899, 120.84469185 31.50115486, 120.83732981 31.50115486, 120.83732981 31.50576899))"
,5630,17453;17454;57291;57292;57293;57294;57296,7,unclassified;unclassified;unclassified;residential;residential;residential;unclassified,,,,120.84837287,31.50346192,"POLYGON ((120.84469185 31.50576899, 120.8520539 31.50576899, 120.8520539 31.50115486, 120.84469185 31.50115486, 120.84469185 31.50576899))"
,5631,57266;57267;57268;57270;57271;57272;57287;57288;57289;57290;57295,11,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,120.85573492,31.50346192,"POLYGON ((120.8520539 31.50576899, 120.85941594 31.50576899, 120.85941594 31.50115486, 120.8520539 31.50115486, 120.8520539 31.50576899))"
,5632,17363;17364;17365;17368;17369,5,primary;unclassified;unclassified;primary;primary,,,,120.87782105,31.50346192,"POLYGON ((120.87414003 31.50576899, 120.88150208 31.50576899, 120.88150208 31.50115486, 120.87414003 31.50115486, 120.87414003 31.50576899))"
,5633,11224;17366;17367;17376;17377,5,tertiary;tertiary;tertiary;unclassified;unclassified,,,,120.8851831,31.50346192,"POLYGON ((120.88150208 31.50576899, 120.88886412 31.50576899, 120.88886412 31.50115486, 120.88150208 31.50115486, 120.88150208 31.50576899))"
,5634,2053;11225;17081;17082;17301;17362,6,motorway;tertiary;tertiary;tertiary;motorway;tertiary,,,,120.89254514,31.50346192,"POLYGON ((120.88886412 31.50576899, 120.89622617 31.50576899, 120.89622617 31.50115486, 120.88886412 31.50115486, 120.88886412 31.50576899))"
,5635,11111;11114;11208;11210;57278;57279,6,tertiary;tertiary;residential;residential;tertiary;residential,,,,120.89990719,31.50346192,"POLYGON ((120.89622617 31.50576899, 120.90358821 31.50576899, 120.90358821 31.50115486, 120.89622617 31.50115486, 120.89622617 31.50576899))"
,5636,7555;7573;7574;11101;11102;11109;11288,7,tertiary;tertiary;tertiary;tertiary;tertiary;residential;tertiary,,,,120.90726924,31.50346192,"POLYGON ((120.90358821 31.50576899, 120.91095026 31.50576899, 120.91095026 31.50115486, 120.90358821 31.50115486, 120.90358821 31.50576899))"
,5637,7552;11289;15880;15881;15882;15883;15884;15885;15886,9,tertiary;tertiary;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;tertiary,,,,120.91463128,31.50346192,"POLYGON ((120.91095026 31.50576899, 120.9183123 31.50576899, 120.9183123 31.50115486, 120.91095026 31.50115486, 120.91095026 31.50576899))"
,5638,7569;11206,2,tertiary;tertiary,,,,120.92199332,31.50346192,"POLYGON ((120.9183123 31.50576899, 120.92567435 31.50576899, 120.92567435 31.50115486, 120.9183123 31.50115486, 120.9183123 31.50576899))"
,5639,7580,1,tertiary,,,,120.92935537,31.50346192,"POLYGON ((120.92567435 31.50576899, 120.93303639 31.50576899, 120.93303639 31.50115486, 120.92567435 31.50115486, 120.92567435 31.50576899))"
,5640,2788;2789;4926;4927;4928;4929,6,tertiary;primary;primary;primary;primary;primary,,,,120.93671742,31.50346192,"POLYGON ((120.93303639 31.50576899, 120.94039844 31.50576899, 120.94039844 31.50115486, 120.93303639 31.50115486, 120.93303639 31.50576899))"
,5641,34988,1,secondary,,,,120.9514415,31.50346192,"POLYGON ((120.94776048 31.50576899, 120.95512253 31.50576899, 120.95512253 31.50115486, 120.94776048 31.50115486, 120.94776048 31.50576899))"
,5642,7213;52299;52300,3,secondary;secondary;tertiary,,,,120.9661656,31.50346192,"POLYGON ((120.96248457 31.50576899, 120.96984662 31.50576899, 120.96984662 31.50115486, 120.96248457 31.50115486, 120.96248457 31.50576899))"
,5643,52303;52305;52306,3,secondary;tertiary;tertiary,,,,120.97352764,31.50346192,"POLYGON ((120.96984662 31.50576899, 120.97720866 31.50576899, 120.97720866 31.50115486, 120.96984662 31.50115486, 120.96984662 31.50576899))"
,5644,52304,1,tertiary,,,,120.98088968,31.50346192,"POLYGON ((120.97720866 31.50576899, 120.98457071 31.50576899, 120.98457071 31.50115486, 120.97720866 31.50115486, 120.97720866 31.50576899))"
,5645,15216,1,unclassified,,,,121.00297582,31.50346192,"POLYGON ((120.9992948 31.50576899, 121.00665685 31.50576899, 121.00665685 31.50115486, 120.9992948 31.50115486, 120.9992948 31.50576899))"
