name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,38052,5951165442,,,,,tertiary,0,120.6087431,31.1873693,,,
,38053,5951165443,,,,,secondary,0,120.6110024,31.1875244,,,
,38054,5951165444,,,,,secondary,0,120.6111342,31.1875363,,,
,38055,5951165466,,,,,service,1,120.6281309,31.1801478,,,
,38056,5951165481,,,,,tertiary,0,120.6233965,31.1848885,,,
,38057,5951165776,,,,,tertiary,0,120.601541,31.1837896,,,
,38058,5951165899,,,,,tertiary,0,120.6136819,31.1894122,,,
,38059,5951165900,,,,,residential,0,120.6109673,31.1892559,,,
,38060,5951165901,,,,,residential,0,120.6108218,31.1892475,,,
,38061,5951165902,,,,,tertiary,0,120.6086367,31.1891217,,,
,38062,5951166102,,,,,tertiary,0,120.5965194,31.189839,,,
,38063,5951166360,,,,,secondary,0,120.5961804,31.2127924,,,
,38064,5951166363,,,,,residential,0,120.5972581,31.2092539,,,
,38065,5951166366,,,,,secondary,0,120.5975675,31.2071472,,,
,38066,5951166531,,,,,service,1,120.5929065,31.2186475,,,
,38067,5951166532,,,,,unclassified,0,120.5947267,31.2190842,,,
,38068,5951166534,,,,,tertiary,0,120.5971886,31.2199654,,,
,38069,5951166536,,,,,tertiary,0,120.5999975,31.2215424,,,
,38070,5951166561,,,,,unclassified,0,120.5888967,31.2231494,,,
,38071,5951166568,,,,,tertiary,0,120.585855,31.2227598,,,
,38072,5951166569,,,,,tertiary,0,120.5814982,31.2234408,,,
,38073,5951166570,,,,,tertiary,0,120.5887101,31.2223118,,,
,38074,5951166691,,,,,unclassified,0,120.5830626,31.231534,,,
,38075,5951166698,,,,,secondary,0,120.5793993,31.2310505,,,
,38076,5951976168,,,,,unclassified,0,120.6187794,31.1215131,,,
,38077,5951976169,,,,,unclassified,1,120.6184576,31.1215235,,,
,38078,5951976427,,,,,service,0,120.6327219,31.1208977,,,
,38079,5951976438,,,,,service,0,120.6351507,31.1181296,,,
,38080,5951976442,,,,,service,0,120.6366809,31.1185797,,,
,38081,5951976448,,,,,service,0,120.6376424,31.1206578,,,
,38082,5951976449,,,,,service,1,120.6388462,31.1206001,,,
,38083,5951976450,,,,,service,0,120.6351044,31.1207836,,,
,38084,5951976451,,,,,service,0,120.6360575,31.1207291,,,
,38085,5951976643,,,,,tertiary,0,120.6694143,31.1079541,,,
,38086,5951977007,,,,,tertiary,0,120.6491168,31.1403558,,,
,38087,5951977008,,,,,secondary,0,120.6478753,31.1437005,,,
,38088,5951977009,,,,,tertiary,0,120.6429612,31.1396621,,,
,38089,5951977010,,,,,unclassified,0,120.6429507,31.136552,,,
,38090,5951977014,,,,,secondary,0,120.6430355,31.1430041,,,
,38091,5951977015,,,,,secondary,0,120.6513845,31.1426572,,,
,38092,5951977016,,,,,residential,1,120.6539724,31.1445509,,,
,38093,5951977023,,,,,primary,0,120.6644443,31.1424799,,,
,38094,5951977024,,,,,primary,0,120.6644735,31.1423925,,,
,38095,5951977025,,,,,footway,0,120.6643795,31.142595,,,
,38096,5951977029,,,,,footway,0,120.664435,31.1427415,,,
