name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5780,12680;12681;28975;34118;34119;43822,6,residential;primary;primary;residential;primary;primary,,,,-112.00410731,33.42042907,"POLYGON ((-112.00609878 33.42139177, -112.00211584 33.42139177, -112.00211584 33.41946636, -112.00609878 33.41946636, -112.00609878 33.42139177))"
,5781,20984;20985;34410,3,unclassified;unclassified;unclassified,,,,-112.00012437,33.42042907,"POLYGON ((-112.00211584 33.42139177, -111.9981329 33.42139177, -111.9981329 33.41946636, -112.00211584 33.41946636, -112.00211584 33.42139177))"
,5782,6191;13533;13534;43823,4,unclassified;unclassified;unclassified;secondary,,,,-111.99614143,33.42042907,"POLYGON ((-111.9981329 33.42139177, -111.99414996 33.42139177, -111.99414996 33.41946636, -111.9981329 33.41946636, -111.9981329 33.42139177))"
,5783,16413,1,unclassified,,,,-111.99215849,33.42042907,"POLYGON ((-111.99414996 33.42139177, -111.99016702 33.42139177, -111.99016702 33.41946636, -111.99414996 33.41946636, -111.99414996 33.42139177))"
,5784,25853,1,unclassified,,,,-111.98817554,33.42042907,"POLYGON ((-111.99016702 33.42139177, -111.98618407 33.42139177, -111.98618407 33.41946636, -111.99016702 33.41946636, -111.99016702 33.42139177))"
,5785,26565,1,unclassified,,,,-111.9841926,33.42042907,"POLYGON ((-111.98618407 33.42139177, -111.98220113 33.42139177, -111.98220113 33.41946636, -111.98618407 33.41946636, -111.98618407 33.42139177))"
,5786,26635;47899,2,motorway;motorway,,,,-111.98020966,33.42042907,"POLYGON ((-111.98220113 33.42139177, -111.97821819 33.42139177, -111.97821819 33.41946636, -111.98220113 33.41946636, -111.98220113 33.42139177))"
,5787,26632;26633;34151;34152;41971;41972;47916,7,motorway;motorway;motorway;motorway;motorway;motorway;motorway,,,,-111.97622672,33.42042907,"POLYGON ((-111.97821819 33.42139177, -111.97423525 33.42139177, -111.97423525 33.41946636, -111.97821819 33.41946636, -111.97821819 33.42139177))"
,5788,41991,1,secondary,,,,-111.96826083,33.42042907,"POLYGON ((-111.9702523 33.42139177, -111.96626936 33.42139177, -111.96626936 33.41946636, -111.9702523 33.41946636, -111.9702523 33.42139177))"
,5789,18941,1,unclassified,,,,-111.96427789,33.42042907,"POLYGON ((-111.96626936 33.42139177, -111.96228642 33.42139177, -111.96228642 33.41946636, -111.96626936 33.41946636, -111.96626936 33.42139177))"
,5790,16745;16746;18306;18307;18369;23777;41990,7,residential;secondary;residential;residential;unclassified;residential;secondary,,,,-111.96029495,33.42042907,"POLYGON ((-111.96228642 33.42139177, -111.95830348 33.42139177, -111.95830348 33.41946636, -111.96228642 33.41946636, -111.96228642 33.42139177))"
,5791,16743;16744;18940;20195;23776;27641;27642,7,residential;residential;residential;residential;residential;residential;residential,,,,-111.95631201,33.42042907,"POLYGON ((-111.95830348 33.42139177, -111.95432054 33.42139177, -111.95432054 33.41946636, -111.95830348 33.41946636, -111.95830348 33.42139177))"
,5792,16741;16742;18939;20234;20235,5,tertiary;tertiary;tertiary;tertiary;tertiary,,,,-111.95232907,33.42042907,"POLYGON ((-111.95432054 33.42139177, -111.95033759 33.42139177, -111.95033759 33.41946636, -111.95432054 33.41946636, -111.95432054 33.42139177))"
,5793,8676;8677;8678;22359;22360;23584,6,residential;residential;residential;residential;residential;residential,,,,-111.94834612,33.42042907,"POLYGON ((-111.95033759 33.42139177, -111.94635465 33.42139177, -111.94635465 33.41946636, -111.95033759 33.41946636, -111.95033759 33.42139177))"
,5794,2424;2425;4254;19303;31053;50369;50376,7,residential;residential;residential;residential;residential;residential;residential,,,,-111.94436318,33.42042907,"POLYGON ((-111.94635465 33.42139177, -111.94237171 33.42139177, -111.94237171 33.41946636, -111.94635465 33.41946636, -111.94635465 33.42139177))"
,5795,32442;35006;40986;40987;40988;40989;40990;40991;44616;49233;50368;50370;50371;50372;50373;50374;50375;51418;51419,19,residential;residential;primary;primary;primary;primary;primary;primary;residential;service;residential;residential;residential;residential;residential;residential;residential;residential;residential,signal;signal,,,-111.94038024,33.42042907,"POLYGON ((-111.94237171 33.42139177, -111.93838877 33.42139177, -111.93838877 33.41946636, -111.94237171 33.41946636, -111.94237171 33.42139177))"
,5796,34664;34665;37616,3,residential;residential;residential,,,,-111.9363973,33.42042907,"POLYGON ((-111.93838877 33.42139177, -111.93440583 33.42139177, -111.93440583 33.41946636, -111.93838877 33.41946636, -111.93838877 33.42139177))"
,5797,47950;47951;47953;48194,4,footway;footway;footway;footway,,,,-111.93241435,33.42042907,"POLYGON ((-111.93440583 33.42139177, -111.93042288 33.42139177, -111.93042288 33.41946636, -111.93440583 33.41946636, -111.93440583 33.42139177))"
,5798,15748;35034;46967;46968;46969;48257;49867,7,tertiary;tertiary;tertiary;tertiary;tertiary;residential;tertiary,,,,-111.92843141,33.42042907,"POLYGON ((-111.93042288 33.42139177, -111.92643994 33.42139177, -111.92643994 33.41946636, -111.93042288 33.41946636, -111.93042288 33.42139177))"
,5799,4951;27816;31786;34479;35035;43192;43193;46964,8,tertiary;primary;primary;primary;primary;primary;primary;tertiary,signal;signal,,,-111.92444847,33.42042907,"POLYGON ((-111.92643994 33.42139177, -111.922457 33.42139177, -111.922457 33.41946636, -111.92643994 33.41946636, -111.92643994 33.42139177))"
,5800,46812,1,tertiary,,,,-111.91648259,33.42042907,"POLYGON ((-111.91847406 33.42139177, -111.91449112 33.42139177, -111.91449112 33.41946636, -111.91847406 33.41946636, -111.91847406 33.42139177))"
,5801,14588,1,tertiary,,,,-111.91249964,33.42042907,"POLYGON ((-111.91449112 33.42139177, -111.91050817 33.42139177, -111.91050817 33.41946636, -111.91449112 33.41946636, -111.91449112 33.42139177))"
,5802,8895;8896;14544;22139;22280;36983;37027;37028,8,residential;secondary;residential;residential;residential;secondary;secondary;residential,,,,-111.9085167,33.42042907,"POLYGON ((-111.91050817 33.42139177, -111.90652523 33.42139177, -111.90652523 33.41946636, -111.91050817 33.41946636, -111.91050817 33.42139177))"
