name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,25714,882,967,164.7095914794854,1.0,,,"LINESTRING (-111.69343783 33.30490486, -111.69343783 33.30683027)",auto,1
,25715,710,709,61.348547086144855,2.0,,,"LINESTRING (-111.70140371 33.30105406, -111.70538666 33.30105406)",auto,1
,25716,709,710,61.34854708614486,1.0,,,"LINESTRING (-111.70538666 33.30105406, -111.70140371 33.30105406)",auto,1
,25717,1214,1215,217.65102213449083,1.0,40.0,,"LINESTRING (-111.71335254 33.31260648, -111.7093696 33.31260648)",auto,3
,25718,1215,1214,217.65102213449083,1.0,40.0,,"LINESTRING (-111.7093696 33.31260648, -111.71335254 33.31260648)",auto,3
,25719,1215,1300,81.04156891183527,1.0,40.0,,"LINESTRING (-111.7093696 33.31260648, -111.7093696 33.31453188)",auto,4
,25720,1300,1215,81.10815389495156,1.0,40.0,,"LINESTRING (-111.7093696 33.31453188, -111.7093696 33.31260648)",auto,4
,25721,1215,1128,81.39348427073435,1.0,40.0,,"LINESTRING (-111.7093696 33.31260648, -111.7093696 33.31068107)",auto,4
,25722,1128,1215,81.31037749289953,1.0,40.0,,"LINESTRING (-111.7093696 33.31068107, -111.7093696 33.31260648)",auto,4
,25723,1215,1216,69.70056805484002,1.0,40.0,,"LINESTRING (-111.7093696 33.31260648, -111.70538666 33.31260648)",auto,2
,25724,1216,1215,69.70056805484002,1.0,40.0,,"LINESTRING (-111.70538666 33.31260648, -111.7093696 33.31260648)",auto,2
,25725,1128,1046,118.17909738287037,,,,"LINESTRING (-111.7093696 33.31068107, -111.7093696 33.30875567)",auto,2
,25726,1046,1128,118.17909738287037,,,,"LINESTRING (-111.7093696 33.30875567, -111.7093696 33.31068107)",auto,2
,25727,1045,1046,201.02538944513157,,,,"LINESTRING (-111.71335254 33.30875567, -111.7093696 33.30875567)",auto,2
,25728,1046,1045,201.02538944513157,,,,"LINESTRING (-111.7093696 33.30875567, -111.71335254 33.30875567)",auto,2
,25729,1046,1047,227.73600062389625,,,,"LINESTRING (-111.7093696 33.30875567, -111.70538666 33.30875567)",auto,2
,25730,1047,1046,227.7360006238963,,,,"LINESTRING (-111.70538666 33.30875567, -111.7093696 33.30875567)",auto,2
,25731,3087,3168,134.53358618342995,,,,"LINESTRING (-111.68547195 33.35881615, -111.68945489 33.36074156)",auto,1
,25732,3168,3087,134.53358618342995,,,,"LINESTRING (-111.68945489 33.36074156, -111.68547195 33.35881615)",auto,1
,25733,3086,3087,83.80110549545404,1.0,40.0,,"LINESTRING (-111.68945489 33.35881615, -111.68547195 33.35881615)",auto,1
,25734,3905,3809,23.75890383094679,3.0,,,"LINESTRING (-111.82487492 33.37807019, -111.82487492 33.37614479)",auto,1
,25735,3246,3247,240.89411322738283,,,,"LINESTRING (-111.681489 33.36266696, -111.67750606 33.36266696)",auto,3
,25736,3247,3246,240.89411322738283,,,,"LINESTRING (-111.67750606 33.36266696, -111.681489 33.36266696)",auto,3
,25737,3329,3246,85.41294428453648,,,,"LINESTRING (-111.681489 33.36459237, -111.681489 33.36266696)",auto,2
,25738,3246,3329,85.41294428453648,,,,"LINESTRING (-111.681489 33.36266696, -111.681489 33.36459237)",auto,2
,25739,3170,3169,238.6441217130883,,,,"LINESTRING (-111.67750606 33.36074156, -111.681489 33.36074156)",auto,2
,25740,3169,3170,238.6441217130883,,,,"LINESTRING (-111.681489 33.36074156, -111.67750606 33.36074156)",auto,2
,25741,3246,3170,92.41559246965485,,,,"LINESTRING (-111.681489 33.36266696, -111.67750606 33.36074156)",auto,1
,25742,3170,3246,92.41559246965485,,,,"LINESTRING (-111.67750606 33.36074156, -111.681489 33.36266696)",auto,1
,25743,3088,3089,84.34398703307062,,,,"LINESTRING (-111.681489 33.35881615, -111.67750606 33.35881615)",auto,3
,25744,3089,3088,84.34398703307062,,,,"LINESTRING (-111.67750606 33.35881615, -111.681489 33.35881615)",auto,3
,25745,4207,4206,269.24062490726817,,,,"LINESTRING (-112.00012437 33.3857718, -112.00410731 33.3857718)",auto,1
,25746,4206,4207,269.24062490726817,,,,"LINESTRING (-112.00410731 33.3857718, -112.00012437 33.3857718)",auto,1
,25747,7094,7016,71.20588394547667,1.0,40.0,,"LINESTRING (-111.79301138 33.45316092, -111.79301138 33.45123552)",auto,2
,25748,6198,6270,165.19981252042805,,,,"LINESTRING (-111.87665316 33.43005608, -111.87665316 33.43198149)",auto,1
,25749,4154,4153,227.59471174598778,1.0,40.0,,"LINESTRING (-111.85673845 33.3838464, -111.8607214 33.3838464)",auto,1
,25750,4153,4154,227.59471174598772,1.0,40.0,,"LINESTRING (-111.8607214 33.3838464, -111.85673845 33.3838464)",auto,1
,25751,4153,4152,86.1762391503449,1.0,40.0,,"LINESTRING (-111.8607214 33.3838464, -111.86470434 33.3838464)",auto,1
,25752,4152,4153,86.1762391503449,1.0,40.0,,"LINESTRING (-111.86470434 33.3838464, -111.8607214 33.3838464)",auto,1
,25753,6119,6045,188.6206269030712,,,,"LINESTRING (-111.90055082 33.42813068, -111.90055082 33.42620528)",auto,1
,25754,6045,6119,188.62062690307124,,,,"LINESTRING (-111.90055082 33.42620528, -111.90055082 33.42813068)",auto,1
,25755,6045,6046,158.51858662685564,,,,"LINESTRING (-111.90055082 33.42620528, -111.89656788 33.42620528)",auto,1
,25756,6046,6045,158.51858662685564,,,,"LINESTRING (-111.89656788 33.42620528, -111.90055082 33.42620528)",auto,1
,25757,6045,5884,398.81458718096707,,,,"LINESTRING (-111.90055082 33.42620528, -111.90055082 33.42235447)",auto,1
,25758,5884,6045,398.814587180967,,,,"LINESTRING (-111.90055082 33.42235447, -111.90055082 33.42620528)",auto,1
,25759,6046,5973,113.77848319651575,1.0,,,"LINESTRING (-111.89656788 33.42620528, -111.89656788 33.42427987)",auto,1
,25760,5973,6046,113.77848319651577,1.0,,,"LINESTRING (-111.89656788 33.42427987, -111.89656788 33.42620528)",auto,1
,25761,6046,6047,162.49903564384746,,,,"LINESTRING (-111.89656788 33.42620528, -111.89258494 33.42620528)",auto,1
,25762,6047,6046,162.49903564384746,,,,"LINESTRING (-111.89258494 33.42620528, -111.89656788 33.42620528)",auto,1
,25763,1129,1047,127.27451311428088,2.0,72.0,,"LINESTRING (-111.70538666 33.31068107, -111.70538666 33.30875567)",auto,2
,25764,1502,1416,132.9186044184129,2.0,,,"LINESTRING (-111.94436318 33.32030809, -111.94436318 33.31838269)",auto,1
,25765,1502,1501,339.9858974513957,3.0,72.0,,"LINESTRING (-111.94436318 33.32030809, -111.94834612 33.32030809)",auto,1
,25766,6392,6469,633.174758621403,3.0,72.0,,"LINESTRING (-111.98020966 33.43583229, -111.97224378 33.4377577)",auto,1
,25767,5867,5866,22.616157707448888,2.0,,,"LINESTRING (-111.97622672 33.42235447, -111.98020966 33.42235447)",auto,2
,25768,6469,6392,479.5267552431837,2.0,72.0,,"LINESTRING (-111.97224378 33.4377577, -111.98020966 33.43583229)",auto,1
,25769,4669,4575,232.22394082287082,2.0,56.0,,"LINESTRING (-111.94834612 33.39539882, -111.94834612 33.39347342)",auto,1
,25770,4575,4669,232.2239408228708,2.0,56.0,,"LINESTRING (-111.94834612 33.39347342, -111.94834612 33.39539882)",auto,1
,25771,4419,4420,90.02460000430355,,,,"LINESTRING (-111.87267022 33.38962261, -111.86868728 33.38962261)",auto,1
,25772,4420,4419,90.02460000430355,,,,"LINESTRING (-111.86868728 33.38962261, -111.87267022 33.38962261)",auto,1
,25773,3169,3246,84.94888482236371,,,,"LINESTRING (-111.681489 33.36074156, -111.681489 33.36266696)",auto,1
,25774,3246,3169,84.94888482236372,,,,"LINESTRING (-111.681489 33.36266696, -111.681489 33.36074156)",auto,1
,25775,3169,3088,89.61410744764362,,,,"LINESTRING (-111.681489 33.36074156, -111.681489 33.35881615)",auto,1
,25776,3088,3169,89.61410744764362,,,,"LINESTRING (-111.681489 33.35881615, -111.681489 33.36074156)",auto,1
,25777,6541,6608,139.0375540611797,2.0,,,"LINESTRING (-111.95631201 33.4396831, -111.95631201 33.4416085)",auto,2
,25778,6654,6653,82.67359767388031,1.0,40.0,,"LINESTRING (-111.71733548 33.4416085, -111.72131842 33.4416085)",auto,1
,25779,6653,6654,82.73192597506066,1.0,40.0,,"LINESTRING (-111.72131842 33.4416085, -111.71733548 33.4416085)",auto,1
,25780,6653,6800,242.53020908632877,1.0,40.0,,"LINESTRING (-111.72131842 33.4416085, -111.72131842 33.44545931)",auto,1
,25781,6800,6653,242.53020908632877,1.0,40.0,,"LINESTRING (-111.72131842 33.44545931, -111.72131842 33.4416085)",auto,1
,25782,5797,5878,31.059677941958192,,,,"LINESTRING (-111.93241435 33.42042907, -111.93241435 33.42235447)",auto,1
,25783,4671,4577,128.11894136001058,2.0,64.0,,"LINESTRING (-111.94038024 33.39539882, -111.94038024 33.39347342)",auto,1
,25784,4577,4671,128.11894136001058,2.0,64.0,,"LINESTRING (-111.94038024 33.39347342, -111.94038024 33.39539882)",auto,1
,25785,6386,6385,259.0329525863121,2.0,40.0,,"LINESTRING (-112.00410731 33.43583229, -112.00809025 33.43583229)",auto,1
,25786,374,456,208.85775575144962,,,,"LINESTRING (-111.73725019 33.29335244, -111.73725019 33.29527785)",auto,1
,25787,537,458,85.38683079716989,,,,"LINESTRING (-111.72928431 33.29720325, -111.72928431 33.29527785)",auto,1
,25788,458,537,85.38683079716989,,,,"LINESTRING (-111.72928431 33.29527785, -111.72928431 33.29720325)",auto,1
,25789,458,376,197.50604611242417,,,,"LINESTRING (-111.72928431 33.29527785, -111.72928431 33.29335244)",auto,1
,25790,376,458,197.50604611242417,,,,"LINESTRING (-111.72928431 33.29335244, -111.72928431 33.29527785)",auto,1
,25791,375,376,206.93819431699995,1.0,40.0,,"LINESTRING (-111.73326725 33.29335244, -111.72928431 33.29335244)",auto,2
,25792,376,375,206.93819431699995,1.0,40.0,,"LINESTRING (-111.72928431 33.29335244, -111.73326725 33.29335244)",auto,2
,25793,375,296,40.55894578989863,1.0,40.0,,"LINESTRING (-111.73326725 33.29335244, -111.73326725 33.29142704)",auto,1
,25794,117,58,188.58365955990936,,,,"LINESTRING (-111.66157429 33.28565083, -111.66157429 33.28372543)",auto,1
,25795,58,117,188.58365955990936,,,,"LINESTRING (-111.66157429 33.28372543, -111.66157429 33.28565083)",auto,1
,25796,6261,6323,195.44650917197373,2.0,56.0,,"LINESTRING (-111.94038024 33.43198149, -111.94038024 33.43390689)",auto,1
,25797,5920,5921,190.96145433504714,2.0,72.0,,"LINESTRING (-111.7571649 33.42235447, -111.75318196 33.42235447)",auto,1
,25798,5921,5920,190.9614543350471,2.0,72.0,,"LINESTRING (-111.75318196 33.42235447, -111.7571649 33.42235447)",auto,1
,25799,5454,5455,33.14670770818634,2.0,,,"LINESTRING (-112.0120732 33.41272745, -112.00809025 33.41272745)",auto,1
,25800,3950,3858,8.925564136554893,1.0,,,"LINESTRING (-112.0120732 33.37999559, -112.0120732 33.37807019)",auto,1
,25801,3858,3950,8.925564136554893,1.0,,,"LINESTRING (-112.0120732 33.37807019, -112.0120732 33.37999559)",auto,1
,25802,2654,2655,328.99676250475807,3.0,72.0,,"LINESTRING (-111.97224378 33.34918914, -111.96826083 33.34918914)",auto,1
,25803,2654,2653,145.79197925030743,3.0,,,"LINESTRING (-111.97224378 33.34918914, -111.97622672 33.34918914)",auto,1
,25804,5902,5820,91.59988330299319,2.0,40.0,,"LINESTRING (-111.82885786 33.42235447, -111.82885786 33.42042907)",auto,1
,25805,5820,5902,87.98503652893271,2.0,40.0,,"LINESTRING (-111.82885786 33.42042907, -111.82885786 33.42235447)",auto,1
,25806,139,192,75.95285280143025,3.0,,,"LINESTRING (-111.84080669 33.28757623, -111.84080669 33.28950164)",auto,1
,25807,192,139,37.541165627253086,5.0,,,"LINESTRING (-111.84080669 33.28950164, -111.84080669 33.28757623)",auto,1
,25808,7222,7221,78.00530592519817,,40.0,,"LINESTRING (-111.89656788 33.45701173, -111.90055082 33.45701173)",auto,1
,25809,7221,7222,78.00530592519817,,40.0,,"LINESTRING (-111.90055082 33.45701173, -111.89656788 33.45701173)",auto,1
,25810,7221,7148,128.39077171751921,,40.0,,"LINESTRING (-111.90055082 33.45701173, -111.90055082 33.45508632)",auto,1
